Ponto;Lat;Lon;Altura;Altura G;Altura C;Lon UTM;Lat UTM
AUTO0326;-23,97619;-46,32156;-4,976;-4,61;-0,366;365549,953082091;7347779,38978467
AUTO0327;-23,97618;-46,32156;-5,012;-4,61;-0,401999999999999;365549,94270134;7347780,49711903
AUTO0328;-23,97618;-46,32155;-4,99;-4,61;-0,38;365550,960181731;7347780,50665741
AUTO0329;-23,97617;-46,32155;-4,967;-4,61;-0,356999999999999;365550,949801062;7347781,61399177
AUTO0330;-23,97617;-46,32154;-4,993;-4,61;-0,383;365551,967281529;7347781,62353006
AUTO0331;-23,97616;-46,32154;-4,952;-4,61;-0,342;365551,956900944;7347782,73086442
AUTO0332;-23,97615;-46,32153;-4,954;-4,61;-0,343999999999999;365552,964000983;7347783,847737
AUTO0333;-23,97615;-46,32153;-4,925;-4,61;-0,314999999999999;365552,964000983;7347783,847737
AUTO0334;-23,97614;-46,32152;-4,928;-4,61;-0,318;365553,971101182;7347784,96460949
AUTO0335;-23,97613;-46,32152;-4,907;-4,61;-0,297;365553,960720766;7347786,07194384
AUTO0336;-23,97613;-46,32151;-4,922;-4,61;-0,311999999999999;365554,978201538;7347786,08148191
AUTO0337;-23,97612;-46,32151;-4,896;-4,61;-0,286;365554,967821204;7347787,18881625
AUTO0338;-23,97611;-46,3215;-4,874;-4,61;-0,263999999999999;365555,974921803;7347788,30568858
AUTO0339;-23,97611;-46,32149;-4,863;-4,61;-0,253;365556,992402727;7347788,3152265
AUTO0340;-23,9761;-46,32149;-4,84;-4,61;-0,23;365556,982022559;7347789,42256084
AUTO0341;-23,97609;-46,32148;-4,851;-4,61;-0,241;365557,989123474;7347790,53943301
AUTO0342;-23,97609;-46,32148;-4,822;-4,61;-0,212;365557,989123474;7347790,53943301
AUTO0343;-23,97608;-46,32147;-4,789;-4,61;-0,178999999999999;365558,996224548;7347791,6563051
AUTO0344;-23,97607;-46,32147;-4,813;-4,61;-0,202999999999999;365558,985844549;7347792,76363943
AUTO0345;-23,97606;-46,32146;-4,775;-4,61;-0,165;365559,992945864;7347793,88051144
AUTO0346;-23,97606;-46,32146;-4,773;-4,61;-0,162999999999999;365559,992945864;7347793,88051144
AUTO0347;-23,97605;-46,32145;-4,753;-4,61;-0,143;365561,000047337;7347794,99738337
AUTO0348;-23,97604;-46,32145;-4,752;-4,61;-0,141999999999999;365560,989667508;7347796,10471768
AUTO0349;-23,97604;-46,32144;-4,712;-4,61;-0,101999999999999;365562,007148969;7347796,11425522
AUTO0350;-23,97603;-46,32144;-4,704;-4,61;-0,094;365561,996769223;7347797,22158953
AUTO0351;-23,97602;-46,32143;-4,704;-4,61;-0,094;365563,003871096;7347798,33846129
AUTO0352;-23,97601;-46,32142;-4,671;-4,61;-0,061;365564,010973127;7347799,45533298
AUTO0353;-23,97601;-46,32142;-4,651;-4,61;-0,041;365564,010973127;7347799,45533298
AUTO0354;-23,976;-46,32141;-4,654;-4,61;-0,044;365565,018075317;7347800,57220459
AUTO0355;-23,97599;-46,32141;-4,605;-4,61;0,005;365565,007695823;7347801,67953888
AUTO0356;-23,97598;-46,3214;-4,594;-4,61;0,016;365566,014798254;7347802,79641041
AUTO0357;-23,97597;-46,32139;-4,609;-4,61;0,001;365567,021900845;7347803,91328185
AUTO0358;-23,97597;-46,32139;-4,594;-4,61;0,016;365567,021900845;7347803,91328185
AUTO0359;-23,97596;-46,32138;-4,549;-4,61;0,061;365568,029003594;7347805,03015321
AUTO0360;-23,97595;-46,32138;-4,551;-4,61;0,059;365568,018624351;7347806,13748749
AUTO0361;-23,97594;-46,32137;-4,557;-4,61;0,053;365569,02572734;7347807,25435877
AUTO0362;-23,97594;-46,32137;-4,509;-4,61;0,101;365569,02572734;7347807,25435877
AUTO0363;-23,97593;-46,32136;-4,488;-4,61;0,122;365570,032830489;7347808,37122997
AUTO0364;-23,97592;-46,32136;-4,513;-4,61;0,097000000000001;365570,022451416;7347809,47856425
AUTO0365;-23,97591;-46,32135;-4,457;-4,61;0,153;365571,029554805;7347810,59543536
AUTO0366;-23,9759;-46,32134;-4,454;-4,61;0,156000000000001;365572,036658354;7347811,7123064
AUTO0367;-23,9759;-46,32134;-4,432;-4,61;0,178;365572,036658354;7347811,7123064
AUTO0368;-23,97589;-46,32133;-4,446;-4,61;0,164000000000001;365573,04376206;7347812,82917735
AUTO0369;-23,97588;-46,32132;-4,399;-4,61;0,211;365574,050865925;7347813,94604823
AUTO0370;-23,97587;-46,32132;-4,369;-4,61;0,241000000000001;365574,040487187;7347815,05338248
AUTO0371;-23,97586;-46,32131;-4,382;-4,61;0,228000000000001;365575,047591294;7347816,17025328
AUTO0372;-23,97586;-46,32131;-4,383;-4,61;0,227;365575,047591294;7347816,17025328
AUTO0373;-23,97585;-46,3213;-4,35;-4,61;0,260000000000001;365576,054695557;7347817,28712399
AUTO0374;-23,97584;-46,32129;-4,313;-4,61;0,297000000000001;365577,061799982;7347818,40399463
AUTO0375;-23,97583;-46,32129;-4,28;-4,61;0,33;365577,051421496;7347819,51132886
AUTO0376;-23,97583;-46,32128;-4,291;-4,61;0,319;365578,068904563;7347819,52086518
AUTO0377;-23,97582;-46,32127;-4,275;-4,61;0,335;365579,076009304;7347820,63773566
AUTO0378;-23,97581;-46,32127;-4,24;-4,61;0,37;365579,065630984;7347821,74506988
AUTO0379;-23,9758;-46,32126;-4,201;-4,61;0,409000000000001;365580,072735965;7347822,86194028
AUTO0380;-23,97579;-46,32126;-4,203;-4,61;0,407;365580,062357731;7347823,9692745
AUTO0381;-23,97578;-46,32125;-4,213;-4,61;0,397;365581,069462954;7347825,08614481
